id,PID,client_name,start_date,end_date,name
6614e93cfc13ae5d25ab9c9f,nE9tSD,Stiedemann Inc,09-04-2023,23-04-2023,Software_Developper
6614e93bfc13ae5d25ab9b71,tW8zDK,Rowe and Sons,13-04-2023,27-04-2023,Software_Developper
6614e93afc13ae5d25ab9a00,kZ2nFE,Paucek-Rutherford,14-04-2023,28-04-2023,Consulting
6614e93cfc13ae5d25ab9c8d,pJ9wSO,Muller Group,16-04-2023,30-04-2023,Software_Developper
6614e93cfc13ae5d25ab9c4e,iR3kPA,Deckow and Sons,11-04-2023,02-05-2023,Software_Developper
6614e93afc13ae5d25ab9a7e,kX4eVH,Abbott-Heathcote,13-04-2023,04-05-2023,Software_Developper
6614e93afc13ae5d25ab9a10,mX5wJO,VonRueden LLC,14-04-2023,05-05-2023,Software_Developper
6614e93bfc13ae5d25ab9b5a,mZ9yDK,Harber-Wilderman,14-04-2023,05-05-2023,Software_Developper
6614e93afc13ae5d25ab99dc,bD4eVC,Lockman LLC,21-04-2023,05-05-2023,Software_Developper
6614e93bfc13ae5d25ab9b3f,gC3rAK,Schinner-Ondricka,21-04-2023,05-05-2023,Software_Developper
6614e93bfc13ae5d25ab9b70,gJ5qDK,"Fay, Mitchell and Johnston",21-04-2023,05-05-2023,Software_Developper
6614e93afc13ae5d25ab9987,gS2yUM,Nikolaus-Kemmer,15-04-2023,06-05-2023,Software_Developper
6614e93afc13ae5d25ab9a16,tL1mZD,Hartmann-Barrows,15-04-2023,06-05-2023,Intern
6614e93bfc13ae5d25ab9b68,gN5wDK,Romaguera-Stroman,15-04-2023,06-05-2023,Software_Developper
6614e93afc13ae5d25ab998d,hC6wOM,"Funk, Johnston and Huel",22-04-2023,06-05-2023,Software_Developper
6614e93cfc13ae5d25ab9d21,bD4eVC,"Walker, Williamson and Reilly",22-04-2023,06-05-2023,Software_Developper
6614e93afc13ae5d25ab9a2b,kX9fTG,Crist-Dietrich,17-04-2023,08-05-2023,Intern
6614e93cfc13ae5d25ab9cbe,gE5yLR,Harber-Feeney,24-04-2023,08-05-2023,Software_Developper
6614e93cfc13ae5d25ab9c38,sFbM85,Shields LLC,11-04-2023,09-05-2023,Consulting
6614e93bfc13ae5d25ab9b77,jZ9yDK,Wolf LLC,12-04-2023,10-05-2023,Software_Developper
