_id,id,PID,client_name,name,start_date,end_date
6613cd3dc84216ece76b4492,660fce90fc13ae3636abc392,17,Babblestorm,Software_Developper,07-01-2024,04-02-2024
6613cd3dc84216ece76b4493,660fce90fc13ae3636abc393,38,Innotype,Consulting,28-02-2024,27-03-2024
6613cd3dc84216ece76b4494,660fce90fc13ae3636abc394,60,Podcat,Software_Developper,27-03-2024,22-05-2024
6613cd3dc84216ece76b4495,660fce90fc13ae3636abc395,42,Oyoba,Software_Developper,02-02-2023,13-04-2023
6613cd3dc84216ece76b4496,660fce90fc13ae3636abc396,95,Quatz,Software_Developper,12-02-2024,29-04-2024
6613cd3dc84216ece76b4497,660fce90fc13ae3636abc397,33,Fanoodle,Software_Developper,07-03-2023,11-04-2023
6613cd3dc84216ece76b4498,660fce90fc13ae3636abc398,48,Wikivu,Software_Developper,19-03-2023,02-04-2023
6613cd3dc84216ece76b4499,660fce90fc13ae3636abc399,10,Fatz,Software_Developper,21-07-2023,11-08-2023
6613cd3dc84216ece76b449a,660fce90fc13ae3636abc39a,92,Wikido,Software_Developper,12-03-2024,30-04-2024
6613cd3dc84216ece76b449b,660fce90fc13ae3636abc39b,60,Yoveo,Software_Developper,01-05-2023,26-06-2023
6613cd3dc84216ece76b449c,660fce90fc13ae3636abc39c,23,Tagpad,Software_Developper,13-01-2024,03-02-2024
6613cd3dc84216ece76b449d,660fce90fc13ae3636abc39d,31,Meezzy,Software_Developper,16-02-2024,10-05-2024
6613cd3dc84216ece76b449e,660fce90fc13ae3636abc39e,39,Izio,Software_Developper,24-01-2024,27-03-2024
6613cd3dc84216ece76b449f,660fce90fc13ae3636abc39f,82,Devcast,Consulting,18-04-2023,16-05-2023
6613cd3dc84216ece76b44a0,660fce90fc13ae3636abc3a0,76,Meevee,Software_Developper,03-01-2024,13-03-2024
6613cd3dc84216ece76b44a1,660fce90fc13ae3636abc3a1,3,Eazzy,Software_Developper,25-06-2023,13-08-2023
6613cd3dc84216ece76b44a2,660fce90fc13ae3636abc3a2,56,Bluejam,Software_Developper,23-07-2023,01-10-2023
6613cd3dc84216ece76b44a3,660fce90fc13ae3636abc3a3,54,Voonyx,Software_Developper,23-04-2023,09-07-2023
6613cd3dc84216ece76b44a4,660fce90fc13ae3636abc3a4,92,Twitterbridge,Software_Developper,16-02-2024,08-03-2024
6613cd3dc84216ece76b44a5,660fce90fc13ae3636abc3a5,71,Skiba,Software_Developper,27-07-2023,12-10-2023
6613cd3dc84216ece76b44a6,660fce90fc13ae3636abc3a6,86,Skinix,Software_Developper,04-03-2023,01-04-2023
6613cd3dc84216ece76b44a7,660fce90fc13ae3636abc3a7,34,Dabtype,Software_Developper,05-07-2023,27-09-2023
6613cd3dc84216ece76b44a8,660fce90fc13ae3636abc3a8,8,Youbridge,Consulting,24-08-2023,16-11-2023
6613cd3dc84216ece76b44a9,660fce90fc13ae3636abc3a9,27,Zoomcast,Software_Developper,13-02-2023,13-03-2023
6613cd3dc84216ece76b44aa,660fce90fc13ae3636abc3aa,44,Latz,Software_Developper,06-10-2023,20-10-2023
6613cd3dc84216ece76b44ab,660fce90fc13ae3636abc3ab,24,Flipbug,Software_Developper,30-07-2023,20-08-2023
6613cd3dc84216ece76b44ac,660fce90fc13ae3636abc3ac,40,Zoonoodle,Software_Developper,21-07-2023,15-09-2023
6613cd3dc84216ece76b44ad,660fce90fc13ae3636abc3ad,35,Jayo,Software_Developper,14-07-2023,01-09-2023
6613cd3dc84216ece76b44ae,660fce90fc13ae3636abc3ae,73,Yodoo,Software_Developper,08-02-2023,19-04-2023
6613cd3dc84216ece76b44af,660fce90fc13ae3636abc3af,59,Youspan,Software_Developper,11-01-2024,04-04-2024
6613cd3dc84216ece76b44b0,660fce90fc13ae3636abc3b0,94,Digitube,Consulting,14-02-2023,28-03-2023
6613cd3dc84216ece76b44b1,660fce90fc13ae3636abc3b1,13,Thoughtstorm,Software_Developper,19-01-2023,16-03-2023
6613cd3dc84216ece76b44b2,660fce90fc13ae3636abc3b2,6,Bubbletube,Software_Developper,20-08-2023,03-09-2023
6613cd3dc84216ece76b44b3,660fce90fc13ae3636abc3b3,57,Quatz,Software_Developper,09-07-2023,13-08-2023
6613cd3dc84216ece76b44b4,660fce90fc13ae3636abc3b4,52,Skyvu,Software_Developper,28-03-2024,13-06-2024
6613cd3dc84216ece76b44b5,660fce90fc13ae3636abc3b5,22,Yadel,Software_Developper,28-04-2023,21-07-2023
6613cd3dc84216ece76b44b6,660fce90fc13ae3636abc3b6,18,Youbridge,Software_Developper,20-03-2024,15-05-2024
6613cd3dc84216ece76b44b7,660fce90fc13ae3636abc3b7,53,Tagtune,Software_Developper,04-11-2023,25-11-2023
6613cd3dc84216ece76b44b8,660fce90fc13ae3636abc3b8,95,Ozu,Software_Developper,24-08-2023,07-09-2023
6613cd3dc84216ece76b44b9,660fce90fc13ae3636abc3b9,27,JumpXS,Software_Developper,21-05-2023,23-07-2023
6613cd3dc84216ece76b44ba,660fce90fc13ae3636abc3ba,71,Realbuzz,Software_Developper,02-05-2023,25-07-2023
6613cd3dc84216ece76b44bb,660fce90fc13ae3636abc3bb,11,Yodo,Software_Developper,07-08-2023,02-10-2023
